,0_names,0_logfoldchanges,0_scores,0_pvals,1_names,1_logfoldchanges,1_scores,1_pvals,2_names,2_logfoldchanges,2_scores,2_pvals,3_names,3_logfoldchanges,3_scores,3_pvals,4_names,4_logfoldchanges,4_scores,4_pvals,5_names,5_logfoldchanges,5_scores,5_pvals,6_names,6_logfoldchanges,6_scores,6_pvals,7_names,7_logfoldchanges,7_scores,7_pvals,8_names,8_logfoldchanges,8_scores,8_pvals,9_names,9_logfoldchanges,9_scores,9_pvals,10_names,10_logfoldchanges,10_scores,10_pvals,11_names,11_logfoldchanges,11_scores,11_pvals,12_names,12_logfoldchanges,12_scores,12_pvals,13_names,13_logfoldchanges,13_scores,13_pvals,14_names,14_logfoldchanges,14_scores,14_pvals,15_names,15_logfoldchanges,15_scores,15_pvals,16_names,16_logfoldchanges,16_scores,16_pvals,17_names,17_logfoldchanges,17_scores,17_pvals
0,CXCR4,3.6334949,63.63401,0.0,NKG7,5.337576,76.6685,0.0,GNG11,5.565757,37.824715,2.4718757814719093e-202,HLA-DRA,5.8801966,66.768074,0.0,TMSB4X,1.4311304,25.479269,7.107763759348888e-119,APOC3,6.9702563,159.55647,0.0,APOC3,5.8305717,114.704346,0.0,RARRES2,5.5854707,52.22514,4.0194710183605523e-209,IFI27,4.64564,43.02352,9.286646991762377e-164,APOA2,7.3739486,133.81252,0.0,APOA2,6.0763364,65.82181,2.0424546262612476e-245,CALD1,5.499758,39.972527,1.7279405129432607e-128,MT-ND4,1.8215885,18.458937,2.37736361648502e-50,KRT8,5.786481,25.325422,1.7143386765434124e-62,MZB1,8.362728,30.481724,3.2510232342145604e-72,HMGB2,4.27636,19.356234,2.416799883241578e-36,PTMA,1.1510143,9.818311,1.05232359580747e-14,S100A9,10.086362,32.21018,9.014522594986236e-33
1,B2M,1.2627845,49.687134,0.0,CCL5,4.442904,67.54551,0.0,SPARC,5.570357,37.314323,1.3725833450177023e-198,CD74,4.6324887,65.68355,0.0,RPS27,1.4111769,23.197966,8.434282475004344e-99,ALB,6.8054223,118.51046,0.0,ALB,5.9391737,98.46616,0.0,SPINK1,7.1324406,48.38512,1.8258409199411617e-189,TM4SF1,6.064644,38.234707,5.759332249197058e-139,ALB,7.0281515,111.784615,0.0,ALB,4.5274887,38.391758,2.0132537026593374e-144,TAGLN,9.226647,36.11874,1.019177448771403e-114,MT-CO3,1.7766871,18.087694,6.043989515762235e-49,ANXA4,6.2741632,21.435167,3.137103244918369e-52,IGHG1,8.747829,22.915798,8.905554827266806e-55,STMN1,5.1717367,17.600595,6.428323498292244e-33,MALAT1,1.0156372,9.324084,6.764015882064835e-14,S100A8,10.74569,27.369576,1.0325761725877692e-29
2,RPL13,2.12459,49.626537,0.0,B2M,1.2326742,48.128845,0.0,IFITM3,2.9985201,36.21953,1.2269074325124325e-201,TYROBP,5.421884,50.940388,2.3843259414206856e-279,B2M,0.9210851,22.77173,4.992586749881429e-98,APOA2,5.8706565,107.333954,0.0,APOA2,4.743555,76.92834,0.0,IFI27,4.7701683,46.674835,2.636870225985858e-193,IFITM3,3.6470783,38.173294,6.791421294120178e-147,SERPINA1,6.879619,100.95249,0.0,APOC3,4.2667246,35.08505,3.863285931072074e-128,MYL9,8.630449,34.358704,3.2567821263587804e-109,MT-CO2,1.7900397,17.796995,1.0244945929889182e-47,TM4SF4,5.358014,21.37038,3.501607955562052e-52,SSR4,3.696157,22.258484,9.531379511459581e-54,ACTB,2.272062,17.43891,2.2792552132493785e-33,SRGN,2.0782707,7.6715846,1.1005087691961506e-10,LYZ,7.7512712,26.378948,4.014873076082833e-29
3,RPS3,2.079068,49.313797,0.0,TMSB4X,1.7034876,47.957264,0.0,IFI27,3.394623,36.183533,9.217489864648706e-200,FTL,3.2924123,46.53792,5.886591383885197e-267,RPS29,1.4439632,21.186646,1.2442232170660838e-84,APOA1,6.4977894,107.02665,0.0,APOA1,5.2784243,73.52409,0.0,SERPINA1,4.947344,41.85577,2.882644768933751e-170,TMSB10,2.3919148,32.022114,1.7064753431424694e-124,APOC1,5.786039,95.71088,0.0,APOC1,4.0662394,30.450209,6.138975489438164e-107,ACTA2,9.106704,30.372839,4.4823354996627466e-96,MT-CO1,1.650555,16.979317,9.955596225535276e-45,KRT18,4.9130535,20.19592,5.354091017403635e-49,IGHG4,8.354858,21.955597,2.325007883483512e-52,HMGB1,2.8467894,16.09947,2.9185948643157372e-30,TMSB4X,0.89300275,7.296973,3.6766855873084596e-10,FTH1,4.2170877,19.553932,5.569562461491975e-24
4,EEF1A1,2.0790086,49.271175,0.0,GNLY,6.524918,44.160423,5.311892930171465e-277,PLVAP,7.402357,34.977966,1.7949306001969478e-180,HLA-DPB1,4.5790653,46.44234,5.908467918213458e-253,IL32,1.9226593,20.812943,4.246320690583628e-81,APOC1,5.440167,97.33664,0.0,APOC1,4.141683,64.67243,0.0,VTN,4.893636,38.34919,2.8200843313599097e-153,SRP14,2.8857303,26.11173,1.350408837130112e-91,APOC3,5.224177,61.772823,1.1126543836231475e-247,HP,4.8731723,27.736248,3.5121407530756523e-93,TPM2,8.598222,29.569324,2.3937007793809445e-93,MT-ATP6,1.8065665,16.17383,8.42118970621754e-42,DEFB1,7.1594796,18.989685,1.934145896261015e-45,IGKC,7.6969857,20.662321,4.205565981454128e-49,TUBA1B,3.759613,15.526441,6.729942600351831e-29,B2M,0.7487773,6.566517,8.957816220342088e-09,S100A6,3.7273781,18.937998,1.9119421028261032e-23
5,RPS27,1.8334607,48.82263,0.0,CST7,3.6196182,43.440353,4.939754012355544e-282,IGFBP7,5.1584234,33.086384,5.142481881215249e-168,HLA-DPA1,4.6859646,45.3806,9.628241052881506e-245,CXCR4,1.8690854,18.67109,1.2294517581667168e-67,ORM1,5.1462646,57.59148,0.0,RBP4,4.5249476,43.605324,9.323963090141443e-205,GAPDH,3.2721064,37.65222,1.0050343144231348e-154,RAMP2,5.518969,25.826313,2.4729336976210198e-88,VTN,5.846659,61.518173,4.3969887098615457e-218,ORM1,4.0969777,25.225842,9.514764849832055e-84,BGN,7.4635687,25.639914,1.7771043849143883e-79,MT-ND2,1.9134446,15.072597,1.2842624768378501e-37,ELF3,6.0724206,18.754456,8.284006978744076e-45,IGHG3,7.8143234,20.108273,1.5738902409080576e-47,TUBB,3.9199693,13.807444,2.9496582078660145e-25,RGS13,7.648677,6.564196,1.0747296603048017e-08,TYROBP,5.379043,18.462273,9.14985212862251e-23
6,RPL13A,1.6907285,48.72721,0.0,KLRD1,5.049125,42.156704,8.958086955024053e-262,SPRY1,5.4278364,33.076622,1.5218080891398055e-167,AIF1,6.690856,44.161026,1.38503904176271e-231,RPL41,1.0685462,18.30529,3.759644200916417e-66,RBP4,5.3993826,56.95883,1.5804083786924222e-307,ORM1,4.3129954,42.824455,2.176247862545588e-201,CLU,4.7409706,36.604023,1.1377706623908834e-144,GNG11,4.5399823,24.25501,7.067866044281282e-82,RBP4,5.5027313,59.265236,5.808498957530778e-218,APOE,4.078143,21.75489,1.6484416933286671e-68,DSTN,4.205723,24.807022,4.391369138785497e-77,MT-ND3,2.113017,13.973549,1.3136526339255493e-33,S100A6,3.3279011,18.631577,5.5206044280699326e-45,FKBP11,3.5044396,16.933727,4.841595341356394e-39,HMGN2,3.2867558,13.737331,3.677289666252874e-25,CREM,2.0978107,6.3204484,2.7395634100394863e-08,SAT1,3.3621144,17.502817,4.119974032356285e-22
7,RPS27A,1.9454322,48.38317,0.0,GZMB,6.0165668,41.971424,1.6836770457991607e-258,SPARCL1,4.812293,32.361347,2.3232922879650875e-163,HLA-DRB1,4.300583,43.813393,3.789270784276595e-237,RPL13A,1.0671493,18.026644,1.689922886237165e-64,AMBP,4.749235,45.92363,2.2341101607468974e-240,AHSG,4.941675,40.780365,4.990402487493864e-185,ALB,4.2101936,35.86859,2.971718195816561e-151,SAT1,3.3282886,24.242008,6.672506048657334e-83,MT2A,5.6141667,57.826603,2.909280405001552e-208,AZGP1,4.3031836,20.315243,2.8983782529133126e-62,SPARCL1,5.1715364,24.136646,2.043878277458541e-74,MT-CYB,1.6573083,12.424299,2.71126159785554e-28,CLDN4,8.236815,18.55198,3.474263667122581e-44,HERPUD1,2.9952757,16.391846,1.378080724075213e-37,H2AFZ,2.8298497,12.167529,9.137516248762973e-22,H3F3B,1.3495433,6.1385064,5.491011460058972e-08,TIMP1,5.45398,15.41756,1.220676128949094e-19
8,RPS29,1.9595654,47.933445,0.0,GZMH,4.8640404,36.624508,2.3269788551810153e-213,TM4SF1,4.2623806,31.692057,3.3180507954729047e-159,SAT1,3.026071,42.143635,4.059262735941006e-240,CD3D,2.0208428,18.025621,3.605549462597208e-63,AHSG,5.2918124,44.294006,8.362693620439781e-226,AMBP,4.2889686,40.535564,1.5341034490593814e-187,GSTA1,5.717596,35.680527,5.926796590918583e-139,PLPP1,4.976172,23.03852,3.1443172020954606e-76,APOA1,5.607952,57.331562,4.0423433729109586e-213,TTR,3.6786058,19.988415,2.961488851720656e-61,TPM1,5.4578576,23.94372,2.207111115626866e-73,MT-ND1,1.5243409,10.383429,2.091835351791536e-21,CD24,6.497554,18.485474,4.987945891080062e-44,DERL3,7.9001946,15.386827,2.068034428721349e-34,HIST1H4C,4.0979786,11.564699,2.3193468585968298e-20,HLA-C,1.2374527,5.9451947,1.1748344157440955e-07,FCN1,8.846715,14.527714,1.315944129911139e-18
9,RPS15A,1.8300383,47.299976,0.0,GZMA,3.1484768,34.87316,1.2626830952729746e-203,TCF4,4.618476,29.73103,1.4141442523645524e-143,FCER1G,5.404823,41.110893,3.984112171708193e-214,RPL21,1.1637739,17.945791,6.767068819701937e-64,FTL,2.139898,42.40216,6.179306633144121e-252,NUPR1,4.01685,33.826843,1.2791746553624396e-147,AKR1C3,5.069552,34.4941,9.057381687260998e-134,MGP,5.0266166,22.757004,4.630393891036659e-75,AMBP,5.4258947,56.356834,2.3908196651290025e-206,TF,3.5840044,19.944548,4.501130550339056e-61,LGALS1,3.0718303,23.333443,1.2962849274714818e-72,CD79A,5.0322967,8.08538,2.6591359150053523e-14,CLU,3.8447878,17.816618,1.9347333454488846e-42,JCHAIN,7.5811086,15.28079,4.097403065375226e-34,PFN1,2.4447436,11.001632,3.412862849740735e-19,S100A4,1.8820766,5.8999443,1.4443723415775098e-07,FCER1G,5.56952,14.453737,1.445520466357217e-18
